Country,State,State ID,Country ID,Network Speed
Australia,New South Wales,1346,130,375
Australia,Victoria,1721,130,28
Australia,Queensland,1586,130,968
Australia,Western Australia,1409,130,795
Australia,South Australia,1700,130,516
Australia,Tasmania,1881,130,160
India,Kerala,1846,147,374
India,Bangalore,1372,147,742
India,Delhi,1829,147,140
India,Hyderabad,1161,147,793
India,Punjab,1149,147,106
India,Pune,1937,147,397
China,Hainan,1692,165,368
China,Gansu,1121,165,77
China,Shichugan,1220,165,637
China,Fujian,1046,165,710
China,Liaonin,1537,165,549
China,Chethua,1661,165,958
USA,California,1936,128,863
USA,Texas,1052,128,137
USA,Florida,1183,128,687
USA,Alaska,1370,128,104
USA,Hawaii,1745,128,150
USA,Virginia,1610,128,631
Canada,Alberta,1108,148,195
Canada,British Columbia,1690,148,465
Canada,New Brunswick,1996,148,272
Canada,Ontario,1752,148,942
Canada,Nova Scotia,1778,148,308
Japan,Hokkaido,1246,165,224
Japan,Tohoku,1252,165,665
Japan,Kanto,1478,165,494
Japan,Chubu,1731,165,214
Japan,Kinki,1564,165,404
Japan,Chugoku,1463,165,769
Canada,Alberta,1108,148,925
Canada,British Columbia,1690,148,212
Canada,New Brunswick,1996,148,698
Canada,Ontario,1752,148,204
Canada,Nova Scotia,1778,148,913
Japan,Hokkaido,1246,165,776
Japan,Tohoku,1252,165,936
Japan,Kanto,1478,165,49
Japan,Chubu,1731,165,18
Japan,Kinki,1564,165,298
Japan,Chugoku,1463,165,461
Australia,New South Wales,1346,130,21
Australia,Victoria,1721,130,605
Australia,Queensland,1586,130,299
Australia,Western Australia,1409,130,632
Australia,South Australia,1700,130,396
Australia,Tasmania,1881,130,649
India,Kerala,1846,147,371
India,Bangalore,1372,147,314
India,Delhi,1829,147,275
India,Hyderabad,1161,147,800
India,Punjab,1149,147,561
India,Pune,1937,147,178
China,Hainan,1692,165,689
China,Gansu,1121,165,478
China,Shichugan,1220,165,927
China,Fujian,1046,165,741
China,Liaonin,1537,165,263
China,Chethua,1661,165,60
USA,California,1936,128,142
USA,Texas,1052,128,502
USA,Florida,1183,128,394
USA,Alaska,1370,128,930
USA,Hawaii,1745,128,175
USA,Virginia,1610,128,261
India,Kerala,1846,147,316
India,Bangalore,1372,147,771
India,Delhi,1829,147,646
India,Hyderabad,1161,147,126
India,Punjab,1149,147,11
India,Pune,1937,147,988
China,Hainan,1692,165,823
China,Gansu,1121,165,17
China,Shichugan,1220,165,664
China,Fujian,1046,165,259
China,Liaonin,1537,165,72
China,Chethua,1661,165,699
USA,California,1936,128,759
USA,Texas,1052,128,119
USA,Florida,1183,128,331
USA,Alaska,1370,128,224
USA,Hawaii,1745,128,831
USA,Virginia,1610,128,3
Canada,Alberta,1108,148,718
Canada,British Columbia,1690,148,161
Canada,New Brunswick,1996,148,839
Canada,Ontario,1752,148,76
Canada,Nova Scotia,1778,148,371
Japan,Hokkaido,1246,165,846
Japan,Tohoku,1252,165,870
Japan,Kanto,1478,165,3
Japan,Chubu,1731,165,587
Japan,Kinki,1564,165,630
Japan,Chugoku,1463,165,801
Australia,New South Wales,1346,130,818
Australia,Victoria,1721,130,158
Australia,Queensland,1586,130,623
Australia,Western Australia,1409,130,22
Australia,South Australia,1700,130,545
Australia,Tasmania,1881,130,401
India,Kerala,1846,147,860
India,Bangalore,1372,147,537
India,Delhi,1829,147,759
India,Hyderabad,1161,147,450
India,Punjab,1149,147,46
India,Pune,1937,147,632
China,Hainan,1692,165,860
China,Gansu,1121,165,551
China,Shichugan,1220,165,668
China,Fujian,1046,165,746
China,Liaonin,1537,165,447
China,Chethua,1661,165,723
USA,California,1936,128,183
USA,Texas,1052,128,572
USA,Florida,1183,128,348
USA,Alaska,1370,128,429
USA,Hawaii,1745,128,438
USA,Virginia,1610,128,148
Canada,Alberta,1108,148,607
Canada,British Columbia,1690,148,937
Canada,New Brunswick,1996,148,467
Canada,Ontario,1752,148,659
Canada,Nova Scotia,1778,148,973
Japan,Hokkaido,1246,165,872
Japan,Tohoku,1252,165,76
Japan,Kanto,1478,165,240
Japan,Chubu,1731,165,300
Japan,Kinki,1564,165,721
Japan,Chugoku,1463,165,678
Australia,New South Wales,1346,130,506
Australia,Victoria,1721,130,989
Australia,Queensland,1586,130,146
Australia,Western Australia,1409,130,823
Australia,South Australia,1700,130,127
Australia,Tasmania,1881,130,831
India,Kerala,1846,147,220
India,Bangalore,1372,147,415
India,Delhi,1829,147,953
India,Hyderabad,1161,147,261
India,Punjab,1149,147,185
India,Pune,1937,147,329
China,Hainan,1692,165,466
China,Gansu,1121,165,262
China,Shichugan,1220,165,821
China,Fujian,1046,165,630
China,Liaonin,1537,165,444
China,Chethua,1661,165,167
USA,California,1936,128,951
USA,Texas,1052,128,158
USA,Florida,1183,128,653
USA,Alaska,1370,128,812
USA,Hawaii,1745,128,578
USA,Virginia,1610,128,552
Canada,Alberta,1108,148,135
Canada,British Columbia,1690,148,203
Canada,New Brunswick,1996,148,883
Canada,Ontario,1752,148,118
Canada,Nova Scotia,1778,148,159
Japan,Hokkaido,1246,165,171
Japan,Tohoku,1252,165,862
Japan,Kanto,1478,165,161
Japan,Chubu,1731,165,530
Japan,Kinki,1564,165,400
Japan,Chugoku,1463,165,110
Australia,New South Wales,1346,130,827
Australia,Victoria,1721,130,631
Australia,Queensland,1586,130,141
Australia,Western Australia,1409,130,280
Australia,South Australia,1700,130,708
Australia,Tasmania,1881,130,3
India,Kerala,1846,147,123
India,Bangalore,1372,147,724
India,Delhi,1829,147,986
India,Hyderabad,1161,147,373
India,Punjab,1149,147,434
India,Pune,1937,147,783
China,Hainan,1692,165,790
China,Gansu,1121,165,358
China,Shichugan,1220,165,578
China,Fujian,1046,165,362
China,Liaonin,1537,165,510
China,Chethua,1661,165,992
USA,California,1936,128,545
USA,Texas,1052,128,52
USA,Florida,1183,128,116
USA,Alaska,1370,128,787
USA,Hawaii,1745,128,705
USA,Virginia,1610,128,818
Canada,Alberta,1108,148,902
Canada,British Columbia,1690,148,797
Canada,New Brunswick,1996,148,844
Canada,Ontario,1752,148,862
Canada,Nova Scotia,1778,148,755
Japan,Hokkaido,1246,165,751
Japan,Tohoku,1252,165,836
Japan,Kanto,1478,165,618
Japan,Chubu,1731,165,113
Japan,Kinki,1564,165,431
Japan,Chugoku,1463,165,996
Australia,New South Wales,1346,130,564
Australia,Victoria,1721,130,825
Australia,Queensland,1586,130,84
Australia,Western Australia,1409,130,717
Australia,South Australia,1700,130,403
Australia,Tasmania,1881,130,481
India,Kerala,1846,147,897
India,Bangalore,1372,147,667
India,Delhi,1829,147,463
India,Hyderabad,1161,147,753
India,Punjab,1149,147,843
India,Pune,1937,147,719
China,Hainan,1692,165,638
China,Gansu,1121,165,16
China,Shichugan,1220,165,662
China,Fujian,1046,165,636
China,Liaonin,1537,165,298
China,Chethua,1661,165,497
USA,California,1936,128,575
USA,Texas,1052,128,370
USA,Florida,1183,128,923
USA,Alaska,1370,128,465
USA,Hawaii,1745,128,516
USA,Virginia,1610,128,133
Canada,Alberta,1108,148,939
Canada,British Columbia,1690,148,827
Canada,New Brunswick,1996,148,131
Canada,Ontario,1752,148,11
Canada,Nova Scotia,1778,148,480
Japan,Hokkaido,1246,165,700
Japan,Tohoku,1252,165,877
Japan,Kanto,1478,165,261
Japan,Chubu,1731,165,396
Japan,Kinki,1564,165,441
Japan,Chugoku,1463,165,223
Australia,New South Wales,1346,130,713
Australia,Victoria,1721,130,647
Australia,Queensland,1586,130,652
Australia,Western Australia,1409,130,271
Australia,South Australia,1700,130,44
Australia,Tasmania,1881,130,298
India,Kerala,1846,147,988
India,Bangalore,1372,147,730
India,Delhi,1829,147,166
India,Hyderabad,1161,147,534
India,Punjab,1149,147,438
India,Pune,1937,147,383
China,Hainan,1692,165,862
China,Gansu,1121,165,612
China,Shichugan,1220,165,284
China,Fujian,1046,165,829
China,Liaonin,1537,165,92
China,Chethua,1661,165,583
USA,California,1936,128,902
USA,Texas,1052,128,322
